#: table_doi: 10.17182/hepdata.167852.v1/t13
#: name: Fig. 5: Particle level CHI distribution (3.6 < M(JJ) < 4.2 TeV)
#: description: Normalized CHI = exp(|Y1-Y2|) distributions (1/SIG)*D(SIG)/DCHI in 3.6 < M(JJ) < 4.2 TeV with |Y1+Y2|/2< 1.1 for 138 fb$^{-1}$ of integrated luminosity at $\sqrt{s} = 13$ TeV. The data distributions corrected for detector effects are compared to NNLO predictions with central scale choices $\mu_{F}$ = $\mu_{R}$ = $m_{jj}$ and $\mu_{F}$ = $\mu_{R}$ = $<p_{T}>$. Prediction with the alternative CT14 PDF set, and a comparison with the NLO prediction used in the previous publication are also given. Theoretical uncertainties with the central scale $\mu_{F}$ = $\mu_{R}$ = $m_{jj}$ and using NNPDF3.1 are provided. We also provide prediction without EW corrections applied.
#: data_file: fig._5:_particle_level_chi_distribution_(3.6_<_m(jj)_<_4.2_tev).yaml
#: keyword reactions: P P --> JET JET X
#: keyword cmenergies: 13000
#: keyword observables: DSIG/DCHI
#: LUMINOSITY [fb$^{-1}$],,,138.0
CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,Measured,sys +,sys -,total +,total -
1.5,1,2,0.08019,0.00231,-0.00231,0.00269,-0.00269
2.5,2,3,0.06551,0.00172,-0.00172,0.00213,-0.00213
3.5,3,4,0.065,0.00157,-0.00157,0.00203,-0.00203
4.5,4,5,0.06428,0.00139,-0.00139,0.00189,-0.00189
5.5,5,6,0.06553,0.00122,-0.00122,0.00179,-0.00179
6.5,6,7,0.06535,0.00097,-0.00097,0.00164,-0.00164
7.5,7,8,0.06446,0.00066,-0.00066,0.00148,-0.00148
8.5,8,9,0.06579,0.00037,-0.00037,0.00139,-0.00139
9.5,9,10,0.06546,0.00033,-0.00033,0.00139,-0.00139
11.0,10,12,0.06627,0.00083,-0.00083,0.00127,-0.00127
13.0,12,14,0.06553,0.00156,-0.00156,0.00184,-0.00184
15.0,14,16,0.06742,0.00223,-0.00223,0.00244,-0.00244

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO + EW NLO ($\mu=m_{jj}$),theory +,theory -
1.5,1,2,0.07707,0.00033,-0.0002
2.5,2,3,0.0632,0.00026,-0.00019
3.5,3,4,0.06105,0.00022,-0.00019
4.5,4,5,0.06207,0.00018,-0.00021
5.5,5,6,0.06258,0.00017,-0.00022
6.5,6,7,0.06346,0.00017,-0.00021
7.5,7,8,0.06438,0.00017,-0.00022
8.5,8,9,0.06529,3e-05,-3e-05
9.5,9,10,0.06621,0.00019,-0.00021
11.0,10,12,0.06752,0.00022,-0.00023
13.0,12,14,0.06917,0.00026,-0.00027
15.0,14,16,0.07066,0.00029,-0.00034

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO + EW NLO ($\mu=<p_{T}>$)
1.5,1,2,0.07864
2.5,2,3,0.06433
3.5,3,4,0.06163
4.5,4,5,0.0624
5.5,5,6,0.06272
6.5,6,7,0.06346
7.5,7,8,0.06424
8.5,8,9,0.06504
9.5,9,10,0.06587
11.0,10,12,0.06706
13.0,12,14,0.06864
15.0,14,16,0.07013

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NLO + EW NLO ($\mu=<p_{T}>$)
1.5,1,2,0.0772
2.5,2,3,0.06361
3.5,3,4,0.06211
4.5,4,5,0.06267
5.5,5,6,0.06318
6.5,6,7,0.0639
7.5,7,8,0.06466
8.5,8,9,0.06541
9.5,9,10,0.06617
11.0,10,12,0.06724
13.0,12,14,0.06856
15.0,14,16,0.06974

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO ($\mu=m_{jj}$)
1.5,1,2,0.072991
2.5,2,3,0.061671
3.5,3,4,0.060566
4.5,4,5,0.062097
5.5,5,6,0.062881
6.5,6,7,0.063927
7.5,7,8,0.064933
8.5,8,9,0.065899
9.5,9,10,0.066826
11.0,10,12,0.068141
13.0,12,14,0.069755
15.0,14,16,0.07121

