#: table_doi: 10.17182/hepdata.167852.v1/t18
#: name: Fig. 5: Particle level CHI distribution (M(JJ) > 7.0 TeV)
#: description: Normalized CHI = exp(|Y1-Y2|) distributions (1/SIG)*D(SIG)/DCHI in M(JJ) > 7.0 TeV with |Y1+Y2|/2< 1.1 for 138 fb$^{-1}$ of integrated luminosity at $\sqrt{s} = 13$ TeV. The data distributions corrected for detector effects are compared to NNLO predictions with central scale choices $\mu_{F}$ = $\mu_{R}$ = $m_{jj}$ and $\mu_{F}$ = $\mu_{R}$ = $<p_{T}>$. Prediction with the alternative CT14 PDF set, and a comparison with the NLO prediction used in the previous publication are also given. Theoretical uncertainties with the central scale $\mu_{F}$ = $\mu_{R}$ = $m_{jj}$ and using NNPDF3.1 are provided. We also provide prediction without EW corrections applied.
#: data_file: fig._5:_particle_level_chi_distribution_(m(jj)_>_7.0_tev).yaml
#: keyword reactions: P P --> JET JET X
#: keyword cmenergies: 13000
#: keyword observables: DSIG/DCHI
#: LUMINOSITY [fb$^{-1}$],,,138.0
CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,Measured,sys +,sys -,total +,total -
2.0,1,3,0.16567,0.01275,-0.01275,0.04935,-0.04935
4.5,3,6,0.07871,0.00406,-0.00406,0.03024,-0.03024
7.5,6,9,0.02303,0.0,-0.0,0.02116,-0.02116
10.5,9,12,0.06797,0.00152,-0.00152,0.0308,-0.0308
14.0,12,16,0.03988,0.00484,-0.00484,0.02426,-0.02426

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO + EW NLO ($\mu=m_{jj}$),theory +,theory -
2.0,1,3,0.07482,0.00302,-0.00428
4.5,3,6,0.06372,0.00075,-0.00085
7.5,6,9,0.06506,0.00052,-0.0002
10.5,9,12,0.06635,0.00145,-0.00116
14.0,12,16,0.06623,0.00148,-0.00123

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO + EW NLO ($\mu=<p_{T}>$)
2.0,1,3,0.08145
4.5,3,6,0.0671
7.5,6,9,0.06551
10.5,9,12,0.06426
14.0,12,16,0.06162

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NLO + EW NLO ($\mu=<p_{T}>$)
2.0,1,3,0.07587
4.5,3,6,0.06476
7.5,6,9,0.06483
10.5,9,12,0.06547
14.0,12,16,0.06576

CHI = exp(|Y1-Y2|),CHI = exp(|Y1-Y2|) LOW,CHI = exp(|Y1-Y2|) HIGH,QCD NNLO ($\mu=m_{jj}$)
2.0,1,3,0.06723
4.5,3,6,0.063286
7.5,6,9,0.066406
10.5,9,12,0.068094
14.0,12,16,0.068045

